fips,state,state_abbrev,fy,TotalStateSupport,TotalFinancialAid,GeneralPublicOperations,NetTuitionandFeeRevenue,NetFTEEnrollment
21,Kentucky,KY,2017,1152881400,229571800,772866400,1187450626,147168
21,Kentucky,KY,2018,1166497800,245815100,773355600,1187427151,144509
21,Kentucky,KY,2019,1156701400,255860200,753625700,1172971938,142003
21,Kentucky,KY,2020,1178218600,277583800,758322900,1185780270,140429
21,Kentucky,KY,2021,1215213026,277653700,752395100,1152515091,137518
21,Kentucky,KY,2022,1271084933,290719300,859108000,1180781594,133629
21,Kentucky,KY,2023,1482800789,369418500,915119600,1148781009,135356
21,Kentucky,KY,2024,1487539063,390083300,936255700,1204490737,139663
22,Louisiana,LA,2001,1007996023,89764951,708202397,281940713,168121
22,Louisiana,LA,2002,1140954119,102874047,799810106,289988341,172092
22,Louisiana,LA,2003,1196304128,104562057,841822249,318119057,177275
22,Louisiana,LA,2004,1245307618,110273926,825961617,357356559,183276
22,Louisiana,LA,2005,1287848788,116325116,848016672,364239362,183409
22,Louisiana,LA,2006,1285481337,116287208,844685431,457672954,166536
22,Louisiana,LA,2007,1459847337,120298754,996009164,438968999,166671
22,Louisiana,LA,2008,1598519738,133623482,1052457952,359659337,165155
22,Louisiana,LA,2009,1564395611,153202568,1004899916,401886698,169602
22,Louisiana,LA,2010,1493619738,158844406,839313019,444945951,178931
22,Louisiana,LA,2011,1582176852,170401609,821694869,465338841,183633
22,Louisiana,LA,2012,1237070397,191729208,760407064,615353756,181590
22,Louisiana,LA,2013,1174061988,217189085,663305247,672197554,174552
22,Louisiana,LA,2014,1125250832,246632214,615616419,701818026,168001
22,Louisiana,LA,2015,1120321587,272148579,598371552,739370138,165329
22,Louisiana,LA,2016,1179534783,293317699,576346451,709611679,167897
22,Louisiana,LA,2017,1083387063,237767170,560562119,816145677,160057
22,Louisiana,LA,2018,1159690661,317922059,568125463,787290926,161670
22,Louisiana,LA,2019,1177144207,329059354,594213563,822724911,163932
22,Louisiana,LA,2020,1229447424,335561648,599881274,803957498,165145
22,Louisiana,LA,2021,1239581426,351110124,508507553,839100061,163735
22,Louisiana,LA,2022,1376075202,365758028,681756996,826180785,158195
22,Louisiana,LA,2023,1478999745,339753033,790524352,877857985,159036
22,Louisiana,LA,2024,1673717552,318832533,976874400,884218589,164921
23,Maine,ME,2001,226587350,12726534,190575172,117667360,29287
23,Maine,ME,2002,236611726,12423988,200252230,127286716,30560
23,Maine,ME,2003,234088660,12463964,197279946,137765582,32736
23,Maine,ME,2004,231511927,12179177,195743959,169289711,34516
23,Maine,ME,2005,241255620,12002590,202928398,172488353,35167
23,Maine,ME,2006,244070644,12463825,204764509,179955786,35235
23,Maine,ME,2007,256024310,12708841,214927856,195493405,35514
23,Maine,ME,2008,271117262,12408842,229162297,213074231,35533
23,Maine,ME,2009,269992384,11722276,221313119,235590336,35968
23,Maine,ME,2010,270023801,11485005,216776084,250095354,37517
23,Maine,ME,2011,276689767,10973453,224635897,258334135,38284
23,Maine,ME,2012,270884116,11073453,227659644,262185609,37897
23,Maine,ME,2013,265872234,10526993,224277341,263258782,37342
23,Maine,ME,2014,271864121,10670394,229817022,260612079,36577
23,Maine,ME,2015,273310554,16128060,228993546,253726432,35445
23,Maine,ME,2016,285813526,20629236,229285760,233032397,34604
23,Maine,ME,2017,302209455,22778680,243199760,236151751,34287
23,Maine,ME,2018,303435296,21089433,245820411,242888682,33945
23,Maine,ME,2019,308450738,21878008,249282407,247732855,33947
23,Maine,ME,2020,319325863,20790114,261158940,251328219,34005
